,task,status,tracker_ID,date,server,city,country
0,Designing and implementing data models,success,89328463488,1970-01-01,1366:c314:8d40:4219:4a51:138f:7ce3:d244,Ontario,Canada
1,Extracting data from various sources,success,89328463489,1970-01-01,1ffa:cdd1:7a2b:a7d8:ab00:eada:94b3:7a7c,California,USA
2,Loading data into a data warehouse,success,89328463490,1970-01-01,8ac5:9010:f24c:2f06:4679:aaec:a737:f003,Florida,USA
3,Data quality assurance,success,89328463491,1970-01-01,5a7d:18ec:4650:5421:185c:4fa0:2e86:6643,Queensland,Australia
4,Building data pipelines,success,89328463492,1970-01-01,1480:2795:2b3a:428e:1023:fa04:586c:90b1,Paris,France
5,Optimizing database performance,-,89328463493,1970-01-01,7f2b:df86:5279:687d:2f43:9cbe:d291:8125,Tokyo,Japan
6,Data quality assurance,success,89328463494,1970-01-01,805a:a9ff:45ca:7672:6737:68cc:6f2d:4bd2,Paris,France
7,Optimizing database performance,success,89328463495,1970-01-01,25d3:9eb2:8066:4cb:3f84:13d5:ab0f:9e3,Queensland,Australia
8,Data governance,success,89328463496,1970-01-01,f57b:4c0e:26c9:f04d:74a9:16b7:2b02:a063,Queensland,Australia
9,Building data pipelines,success,89328463497,1970-01-01,46fd:b891:e726:4f51:ff1f:8489:a823:84dc,California,USA
10,Transforming data into a unified format,success,89328463498,1970-01-01,8755:3c70:4da:ad2a:a23d:8e9b:1a3b:e9bf,Florida,USA
11,Loading data into a data warehouse,success,89328463499,1970-01-01,4a73:ce86:e05b:48a6:2235:f676:d4ea:25d,Texas,USA
12,Loading data into a data warehouse,success,89328463500,1970-01-01,ee97:d7d6:4068:3f6e:f8e9:7cf1:8850:5f3e,Paris,France
13,Building data pipelines,success,89328463501,1970-01-01,f75c:724a:378:3787:b8a2:e9b7:55f4:4b0b,New York,USA
14,Designing and implementing data models,success,89328463502,1970-01-01,3b16:b2c0:32e0:c7fa:e4e4:4035:4954:1925,Florida,USA
15,Designing and implementing data models,-,89328463503,1970-01-01,56c0:efbf:2ecc:67b6:61c:2fa6:7b12:2e12,Texas,USA
16,Data quality assurance,-,89328463504,1970-01-01,99db:f6af:4b20:e70d:3f70:a3a7:1750:dd48,Texas,USA
17,Extracting data from various sources,success,89328463505,1970-01-01,4d9b:5fd7:767c:c61b:5b8e:a027:4de6:fa64,Texas,USA
18,Optimizing database performance,success,89328463506,1970-01-01,7a36:eec8:e57e:a6:90a0:827f:3e16:1544,Florida,USA
19,Data governance,success,89328463507,1970-01-01,5f7:b36d:6e44:aa20:2d85:e34a:c3bc:933d,Texas,USA
20,Data quality assurance,success,89328463508,1970-01-01,ab47:d1a9:b22c:f478:971:e067:9fd4:c67,Tokyo,Japan
21,Loading data into a data warehouse,success,89328463509,1970-01-01,9563:6439:aa49:2239:6e1d:1c32:b1a0:39c9,California,USA
22,Transforming data into a unified format,success,89328463510,1970-01-01,ff37:2e54:5ca0:2d77:ec38:9af2:a180:a416,Paris,France
23,Extracting data from various sources,failed,89328463511,1970-01-01,bd6d:1f65:389f:8977:d411:7194:507f:9870,Florida,USA
24,Data governance,success,89328463512,1970-01-01,791c:7d56:a736:92e2:523f:1d8b:c1c1:c2e7,Texas,USA
25,Data quality assurance,success,89328463513,1970-01-01,f73:9467:b9bc:27b0:ed5:2109:e89a:9be8,Texas,USA
26,Data governance,success,89328463514,1970-01-01,dd06:fb88:e4b0:c6c2:2bd5:2334:eb05:f2bf,California,USA
27,Optimizing database performance,success,89328463515,1970-01-01,e2b:4e14:ce97:d5ac:ec6d:6fff:ea1e:b936,Florida,USA
28,Data integration,success,89328463516,1970-01-01,af81:5a83:f68f:14f7:36ea:e98:b9d7:b7d6,Florida,USA
29,Data governance,success,89328463517,1970-01-01,f8a0:bf7d:f195:8452:d2ac:162d:d49d:b3ea,Tokyo,Japan
30,Data governance,-,89328463518,1970-01-01,2e0:9665:ad00:a232:ed01:8244:ed87:6e55,Paris,France
31,Building data pipelines,success,89328463519,1970-01-01,63cd:490d:f782:8e81:6ac3:4ade:7818:bd15,Texas,USA
32,Data integration,success,89328463520,1970-01-01,7b62:dbba:b416:9c89:fc1f:107:18d:1364,Texas,USA
33,Loading data into a data warehouse,success,89328463521,1970-01-01,8add:b5d9:9b21:2ca6:a54e:63b0:b9ec:9450,New York,USA
34,Loading data into a data warehouse,success,89328463522,1970-01-01,9221:2ac2:6b88:c2f:9cdc:560a:8f19:9500,Tokyo,Japan
35,Transforming data into a unified format,success,89328463523,1970-01-01,9b88:56b1:1f77:19ad:ad3:87ba:87f:c6ce,Tokyo,Japan
36,Designing and implementing data models,success,89328463524,1970-01-01,d59c:fe8c:cf3:8bc2:7d1f:9183:5f9b:5d34,Queensland,Australia
37,Designing and implementing data models,success,89328463525,1970-01-01,dc1d:2564:8837:b3b1:c76f:ddc9:4bb5:8f88,Paris,France
38,Data governance,success,89328463526,1970-01-01,c6dd:c492:7306:c57f:be19:e82b:dd1b:9b0d,New York,USA
39,Building data pipelines,success,89328463527,1970-01-01,ee61:7de0:83b5:472a:ace8:296:3899:b93c,California,USA
40,Optimizing database performance,success,89328463528,1970-01-01,ef0b:751e:87b3:5dca:cd66:e7e5:a800:1d8,Paris,France
41,Optimizing database performance,failed,89328463529,1970-01-01,bb6c:43f0:d2a:2140:c4c4:9eb2:535b:479c,Florida,USA
42,Data governance,success,89328463530,1970-01-01,95c7:c80:239a:8bf2:a6fc:ea36:5ac8:f254,Florida,USA
43,Extracting data from various sources,success,89328463531,1970-01-01,ff98:8df7:3132:6e04:83bd:f7e8:6785:6d10,Queensland,Australia
44,Building data pipelines,failed,89328463532,1970-01-01,9005:f086:b98a:dfb1:fd4b:c187:a367:3ce6,Texas,USA
45,Extracting data from various sources,success,89328463533,1970-01-01,3de2:1164:958a:e086:9dca:65cb:8a76:692b,Tokyo,Japan
46,Loading data into a data warehouse,success,89328463534,1970-01-01,8079:2c06:5f42:79f:ed34:4cd0:6189:c1a9,Florida,USA
47,Extracting data from various sources,failed,89328463535,1970-01-01,a95d:3f9a:d36a:c3d7:f749:7a45:f40e:fdca,California,USA
48,Transforming data into a unified format,success,89328463536,1970-01-01,a75:b887:d02d:c7e4:bfee:830a:e7fb:e970,Ontario,Canada
49,Extracting data from various sources,-,89328463537,1970-01-01,730a:74b4:cefe:60a:65b4:c024:b7ce:35c4,Queensland,Australia
50,Data governance,failed,89328463538,1970-01-01,52d:4f74:ab5f:8a92:14a3:7bec:c56f:786d,Tokyo,Japan
51,Transforming data into a unified format,failed,89328463539,1970-01-01,7e37:1b8d:19d6:3552:815a:decb:6899:b30b,Paris,France
52,Transforming data into a unified format,failed,89328463540,1970-01-01,4f10:ac2e:eff1:292a:982b:8ed7:d82c:d605,Texas,USA
53,Extracting data from various sources,success,89328463541,1970-01-01,6222:683f:1bd0:d94:a68e:1663:4b98:2c76,Ontario,Canada
54,Data governance,success,89328463542,1970-01-01,ce75:6e62:67e7:78a8:d43e:63bd:daf9:243f,Queensland,Australia
55,Optimizing database performance,success,89328463543,1970-01-01,63fb:ea24:b02b:e368:a424:3e07:26bd:f745,Paris,France
56,Data integration,success,89328463544,1970-01-01,5008:92b8:5fad:eeaf:ac82:4d30:5106:b32e,Queensland,Australia
57,Designing and implementing data models,success,89328463545,1970-01-01,d4df:27ce:d11:314c:14fc:83be:8b53:95e1,Texas,USA
58,Extracting data from various sources,success,89328463546,1970-01-01,8c3:db6c:b70a:4086:9b5e:ed48:d324:383b,Tokyo,Japan
59,Data governance,failed,89328463547,1970-01-01,3a40:a149:33b7:9101:1dbf:b685:94d6:454c,Ontario,Canada
60,Data integration,success,89328463548,1970-01-01,d62:d41f:8d8f:7a8:ac74:d9c5:9e4c:cdd8,Ontario,Canada
61,Transforming data into a unified format,success,89328463549,1970-01-01,22ac:f16e:b05a:b256:be1f:1393:ec28:8e5f,California,USA
62,Data quality assurance,success,89328463550,1970-01-01,b6dc:4114:7724:a363:f528:cdab:9c4e:cc94,Ontario,Canada
63,Data governance,success,89328463551,1970-01-01,76e8:4e00:cd1b:7e0f:a48:14c9:4dc8:3f75,Paris,France
64,Data quality assurance,success,89328463552,1970-01-01,7212:222b:45e1:3bf6:675d:f3bc:7a47:52c3,Paris,France
65,Optimizing database performance,success,89328463553,1970-01-01,501a:40b3:98ab:1191:6e80:47cd:83ef:5378,Texas,USA
66,Data quality assurance,success,89328463554,1970-01-01,e5a1:6234:52cb:e230:b67:9d21:2116:7438,New York,USA
67,Data quality assurance,-,89328463555,1970-01-01,cf02:f6f7:d6ac:9bdb:bce6:299f:6118:a00e,Ontario,Canada
68,Data quality assurance,success,89328463556,1970-01-01,48da:eb41:d135:7ef9:1633:68c3:ec38:a810,Queensland,Australia
69,Data quality assurance,success,89328463557,1970-01-01,92e6:a918:5d5a:f41b:13db:1263:dadb:36b9,Queensland,Australia
70,Data governance,-,89328463558,1970-01-01,1d42:51ec:30da:436f:8036:b74d:186:349f,Paris,France
71,Optimizing database performance,success,89328463559,1970-01-01,80b6:ed63:9bd0:9624:7b2c:3be6:7ce0:bbab,New York,USA
72,Extracting data from various sources,success,89328463560,1970-01-01,80fb:e0c1:706e:c1b4:5e43:dac6:69d8:daf6,New York,USA
73,Optimizing database performance,success,89328463561,1970-01-01,f0a:c860:31fe:aa94:bdcf:4fb9:3e84:ba13,Texas,USA
74,Designing and implementing data models,success,89328463562,1970-01-01,1c48:d689:b5bf:b490:cac2:f448:a2f5:800f,Texas,USA
75,Loading data into a data warehouse,success,89328463563,1970-01-01,2811:3a17:d0fa:f5b4:6369:6943:1be5:3e28,Queensland,Australia
76,Data quality assurance,failed,89328463564,1970-01-01,b1b6:c737:dc45:16e4:2a0d:d6ac:5aa:ea4b,Florida,USA
77,Data quality assurance,success,89328463565,1970-01-01,b8d8:df85:1baa:48e:f904:636f:78ad:2c32,Ontario,Canada
78,Building data pipelines,failed,89328463566,1970-01-01,d15a:59c8:ec68:61bf:19ec:5d75:2bc1:361f,Florida,USA
79,Data integration,success,89328463567,1970-01-01,3f18:86f4:e979:ca72:2674:5b59:e004:7677,Paris,France
80,Data governance,success,89328463568,1970-01-01,53bd:c073:56f7:ba2c:4e7e:3f06:9e56:373,Florida,USA
81,Extracting data from various sources,-,89328463569,1970-01-01,3d94:7432:4d0c:6fa:bc85:c2b7:6213:1c1a,Paris,France
82,Transforming data into a unified format,success,89328463570,1970-01-01,7c4:f832:7b51:9cc0:5b13:e0af:f498:aec1,Texas,USA
83,Extracting data from various sources,success,89328463571,1970-01-01,b4d6:e3cc:eb62:a9fc:55e0:cd5c:4d83:8674,Florida,USA
84,Data governance,success,89328463572,1970-01-01,9553:4ab9:6ca2:d260:ecb4:f035:f7f2:8941,New York,USA
85,Data integration,success,89328463573,1970-01-01,3a7:5c6f:a477:2b76:2d06:77e9:5892:10d3,New York,USA
86,Loading data into a data warehouse,-,89328463574,1970-01-01,c100:1f7a:9980:bc1a:7e1a:61c0:ad45:4448,Queensland,Australia
87,Extracting data from various sources,success,89328463575,1970-01-01,ca1e:7132:a6d0:cadd:dd0d:5d8f:6e54:2d18,New York,USA
88,Loading data into a data warehouse,success,89328463576,1970-01-01,9e76:b33f:d856:256e:1d1:675c:8efd:4a8,Texas,USA
89,Extracting data from various sources,success,89328463577,1970-01-01,3432:8c97:65b7:898c:2de0:5014:e92a:3355,Queensland,Australia
90,Extracting data from various sources,success,89328463578,1970-01-01,73de:c6ce:85a8:765a:545e:3211:ab58:b4e2,Paris,France
91,Extracting data from various sources,failed,89328463579,1970-01-01,a9c3:7485:9647:6ec5:701f:59b1:6cc4:8116,Ontario,Canada
92,Optimizing database performance,failed,89328463580,1970-01-01,a9c3:2127:99d7:3382:fd54:2b0d:1238:afad,California,USA
93,Optimizing database performance,success,89328463581,1970-01-01,6fc:e149:a9ee:72b7:ffe5:784b:6ccb:4a91,Tokyo,Japan
94,Data governance,success,89328463582,1970-01-01,85b9:1b0d:6702:d1:9409:5688:b48d:895e,Florida,USA
95,Data integration,failed,89328463583,1970-01-01,bfcb:95ea:609c:ed04:a3f4:da3b:1382:a0cf,New York,USA
96,Transforming data into a unified format,success,89328463584,1970-01-01,5267:f79a:96f0:9241:8d8d:db6f:eb42:c93e,Queensland,Australia
97,Transforming data into a unified format,success,89328463585,1970-01-01,5b32:5d2b:6f28:9d86:895f:3fc2:ae67:278c,Texas,USA
98,Transforming data into a unified format,success,89328463586,1970-01-01,6ecc:9368:90c:b4ee:8c6b:38da:9d9c:ebe2,Tokyo,Japan
99,Data quality assurance,failed,89328463587,1970-01-01,7582:eef6:45c:ead3:b68d:7844:adb2:18a2,Paris,France
100,Data governance,success,89328463588,1970-01-01,8b6:396e:7626:9766:2d11:b281:a0d6:c34a,Queensland,Australia
101,Data governance,failed,89328463589,1970-01-01,b465:368e:f6ce:f133:207b:a2c4:bbbd:2eda,New York,USA
102,Loading data into a data warehouse,success,89328463590,1970-01-01,ff1b:9545:2ab1:66a6:825a:df34:a5ee:8f47,New York,USA
103,Data governance,failed,89328463591,1970-01-01,4c41:ebb3:95a2:2455:e2d2:caab:22d2:a551,Florida,USA
104,Data governance,success,89328463592,1970-01-01,80b2:40d6:fcd8:92af:10be:f6d2:2e70:43ff,Queensland,Australia
105,Extracting data from various sources,success,89328463593,1970-01-01,3ee0:ac:6704:c165:6c9c:5232:23b5:fdae,New York,USA
106,Data integration,success,89328463594,1970-01-01,3235:8ff9:67ba:515b:2990:fb6c:b6f1:d139,Texas,USA
107,Extracting data from various sources,success,89328463595,1970-01-01,f10d:e899:8a8e:2cec:316d:433d:3516:1f84,Queensland,Australia
108,Data integration,success,89328463596,1970-01-01,40e8:999d:cd5c:c19f:5f46:b831:1c1e:e5e4,Paris,France
109,Data quality assurance,success,89328463597,1970-01-01,38b6:33dd:2bce:21e9:7353:3dab:e6c1:7be4,Ontario,Canada
110,Designing and implementing data models,success,89328463598,1970-01-01,7618:619f:e246:32c2:53c1:b166:9b68:810a,Ontario,Canada
111,Data integration,success,89328463599,1970-01-01,d329:2612:1bcd:357c:a759:c33e:1c64:92e9,Tokyo,Japan
112,Designing and implementing data models,success,89328463600,1970-01-01,c6c2:2b69:f833:4ddd:b326:e9cc:8f28:53fa,Queensland,Australia
113,Extracting data from various sources,success,89328463601,1970-01-01,106c:1c94:9d9f:942e:1682:4c8a:9037:bcae,Tokyo,Japan
114,Data governance,success,89328463602,1970-01-01,9e8a:6280:6436:a282:5bdf:7d2f:6dbc:25be,Ontario,Canada
115,Extracting data from various sources,success,89328463603,1970-01-01,afbb:b6f5:f0f4:9aa5:edc7:f4ff:c98e:eae8,Queensland,Australia
116,Data governance,success,89328463604,1970-01-01,172:33a6:9a52:8024:3ef5:7c06:698:e8dd,Florida,USA
117,Data governance,success,89328463605,1970-01-01,7d04:8c31:a8b1:945c:5cc5:9840:f59e:69a3,Paris,France
118,Data quality assurance,-,89328463606,1970-01-01,ab93:8433:8959:bf13:e03b:2fbd:ac78:ca7b,Texas,USA
119,Designing and implementing data models,success,89328463607,1970-01-01,a982:21c7:32:e8e6:e40e:24d9:fc3f:ed1c,New York,USA
120,Data integration,success,89328463608,1970-01-01,c60a:e241:9999:bd77:a53b:2a97:2ab7:d4de,Ontario,Canada
121,Data quality assurance,success,89328463609,1970-01-01,e213:8755:6e97:a12a:76b1:598e:59ce:b80c,New York,USA
122,Data integration,failed,89328463610,1970-01-01,6185:52be:4c86:deb2:cc1:54aa:8881:eb4,New York,USA
123,Extracting data from various sources,failed,89328463611,1970-01-01,febe:ff6:e098:2245:b9ad:9963:db30:fd49,Ontario,Canada
124,Optimizing database performance,-,89328463612,1970-01-01,41cf:d957:e026:37d1:78e1:daaf:e5ca:b1a6,Florida,USA
125,Data integration,success,89328463613,1970-01-01,52e0:8024:304d:4511:e526:aa66:fa50:5c7b,Paris,France
126,Designing and implementing data models,-,89328463614,1970-01-01,413e:b208:41cf:cd5:120d:b9c:d6c:f492,Paris,France
127,Designing and implementing data models,success,89328463615,1970-01-01,efa7:3f72:6b75:6a52:7ab5:5868:dc6:3d13,California,USA
128,Loading data into a data warehouse,success,89328463616,1970-01-01,2ba:b9ea:f31d:1d74:5f73:ecbd:3b1d:72d0,Florida,USA
129,Data governance,success,89328463617,1970-01-01,1751:eafe:2db7:2e1:9bee:bc6f:fa93:50d3,Queensland,Australia
130,Designing and implementing data models,success,89328463618,1970-01-01,1c9c:7f5f:74d:e206:8071:6b29:3e97:5ced,Tokyo,Japan
131,Data governance,success,89328463619,1970-01-01,65aa:83d1:8f02:91b9:2a32:5f1c:7dc2:6828,Ontario,Canada
